CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
OCPBC4373,DREN CULIACAN,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN CULIACAN,LÓTICO,DREN,"-114,76464","32,68130",2012-2021,"3,1",Buena calidad,"17,5",Buena calidad,"36,845",Buena calidad,235,Aceptable,110,Excelente,,,"65,45",Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
OCPBC4373M1,RIO TIJUANA (LIMITE INTERNACIONAL),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,TIJUANA,Tijuana,RIO TIJUANA,LÓTICO,RÍO,"-117,03727","32,54137",2012-2021,"42,485",Contaminada,"166,505",Contaminada,175,Contaminada,24000,Fuertemente contaminada,24000,Fuertemente contaminada,,,"73,3",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DBO,DQO,SST,CF,E_COLI,",NO,NO,NO,NO,NO,ND,SI,SI,LOTICO
OCPBC4375,PRESA DERIVADORA MORELOS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,PRESA DERIVADORA MORELOS (CANAL REFORMA),LÓTICO (HUMEDAL),CANAL,"-114,73056","32,70583",2012-2021,<2,Excelente,"10,83",Buena calidad,<10,Excelente,40,Excelente,9,Excelente,,,"87,25",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
OCPBC4378,SISTEMA DE HUMEDALES REMANENTES DEL DELTA DEL RIO COLORADO 10,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,LAGUNA-RIO COLORADO,LÉNTICO (HUMEDAL),LAGO,"-115,10956","32,20410",2012-2021,"3,24",Buena calidad,"27,55",Aceptable,<10,Excelente,40,Excelente,10,Excelente,,,"97,55",Excelente,"84,2",Excelente,"72,5",Excelente,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCPBC4379,SISTEMA DE HUMEDALES REMANENTES DEL DELTA DEL RIO COLORADO 9,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,LAGUNA GRANDE-RIO COLORADO,LÉNTICO (HUMEDAL),LAGUNA,"-115,05289","32,22058",2012-2021,"2,88",Excelente,"21,71",Aceptable,<10,Excelente,15,Excelente,<3,Excelente,,,,,"76,65",Excelente,"75,8",Excelente,"85,7",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCPBC4380,SISTEMA DE HUMEDALES REMANENTES DEL DELTA DEL RIO COLORADO 8,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,LAGUNA LARGA-RIO COLORADO,LÉNTICO (HUMEDAL),LAGUNA,"-115,05239","32,23261",2012-2021,"4,605",Buena calidad,31,Aceptable,<10,Excelente,65,Excelente,8,Excelente,,,,,"82,7",Excelente,"94,2",Excelente,"99,3",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCPBC4381,RIO COLORADO-YURIMURY,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RIO COLORADO,LÓTICO (HUMEDAL),RÍO,"-115,20758","32,03869",2012-2021,"15,62",Aceptable,100,Contaminada,"45,45",Buena calidad,<3,Excelente,<3,Excelente,,,"87,5",Excelente,,,,,,,"12,4",Toxicidad alta,<1,No Toxico,,,,,,,,,Rojo,"DQO,TOX_L,",SI,NO,SI,SI,SI,ND,SI,NO,LOTICO
OCPBC4382,DESCARGA RIO HARDY (RIO COLORADO),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RIO HARDY,LÓTICO (HUMEDAL),RÍO,"-115,27875","32,15500",2012-2021,"11,81",Aceptable,"67,755",Contaminada,"39,23",Buena calidad,23,Excelente,7,Excelente,,,"87,6",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LOTICO
OCPBC4383,RIO COLORADO 12,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RIO COLORADO,LÓTICO,RÍO,"-115,21861","32,17919",2012-2021,"10,27",Aceptable,"54,14",Contaminada,27,Buena calidad,"6,5",Excelente,<3,Excelente,,,"99,4",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LOTICO
OCPBC4384,RIO COLORADO 14,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RIO COLORADO,LÓTICO,RÍO,"-115,19603","32,23919",2012-2021,"9,41",Aceptable,45,Contaminada,"57,5",Buena calidad,430,Aceptable,210,Buena calidad,,,"71,25",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LOTICO
OCPBC4385,RIO HARDY CRUCE CARRETERA CAMPO LA MARIANA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RIO HARDY,LÓTICO (HUMEDAL),RÍO,"-115,28789","32,22721",2012-2021,"22,54",Aceptable,118,Contaminada,64,Buena calidad,210,Aceptable,90,Excelente,,,"140,8",Contaminada,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,OD%L,",SI,NO,SI,SI,SI,ND,NO,SI,LOTICO
OCPBC4393,RIO NUEVO 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN XOCHIMILCO,LÓTICO,CANAL,"-115,45033","32,53528",2012-2021,"5,84",Buena calidad,56,Contaminada,112,Aceptable,2400,Contaminada,460,Buena calidad,,,"91,75",Excelente,,,,,,,"1,2",Toxicidad baja,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,",SI,NO,SI,NO,SI,ND,SI,SI,LOTICO
OCPBC4396,DREN COLECTOR DEL NORTE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN COLECTOR DEL NORTE,LÓTICO,DREN,"-115,42747","32,57353",2012-2021,"7,365",Aceptable,57,Contaminada,78,Aceptable,2400,Contaminada,1500,Fuertemente contaminada,,,"69,4",Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
OCPBC4399W1,LAGUNA XOCHIMILCO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,LAGUNA XOCHIMILCO,LÉNTICO,LAGUNA,"-115,44740","32,60486",2012-2021,"8,17",Aceptable,"68,9",Contaminada,30,Buena calidad,220,Aceptable,90,Excelente,,,"103,5",Excelente,"79,25",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
OCPBC4400,DREN MEXICALI (RIO NUEVO),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN MEXICALI,LÓTICO,DREN,"-115,44519","32,60576",2012-2021,"7,38",Aceptable,"82,5",Contaminada,"29,5",Buena calidad,1100,Contaminada,460,Buena calidad,,,"77,85",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,",SI,NO,SI,NO,SI,ND,SI,SI,LOTICO
OCPBC4407,SALIDA LAGUNA MEXICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,LAGUNA MEXICO,LÓTICO,DREN,"-115,46003","32,59525",2012-2021,"7,64",Aceptable,45,Contaminada,31,Buena calidad,43,Excelente,23,Excelente,,,"92,05",Excelente,"98,4",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LOTICO
OCPBC4410,DREN XOCHIMILCO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN XOCHIMILCO,LÓTICO,DREN,"-115,46024","32,57276",2012-2021,"12,02",Aceptable,"77,87",Contaminada,"74,165",Buena calidad,"66,5",Excelente,4,Excelente,,,"112,65",Buena calidad,"118,4",Buena calidad,,,,,<1,No Toxico,"1,7",Toxicidad moderada,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LOTICO
OCPBC4416,FABRICA DE PAPEL SAN FRANCISCO SA DE CV  (A) AGUAS ABAJO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN RAMAL 13+070 DEL DREN MEXICALI,LÓTICO,CANAL,"-115,35147","32,64972",2012-2021,"113,63",Contaminada,240,Fuertemente contaminada,"48,57",Buena calidad,<3,Excelente,<3,Excelente,,,"29,5",Contaminada,,,,,,,<1,No Toxico,"1,1",Toxicidad baja,,,,,,,,,Rojo,"DBO,DQO,OD%L,",NO,NO,SI,SI,SI,ND,NO,SI,LOTICO
OCPBC4423,PUENTE MADERO (RIO NUEVO),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RIO NUEVO,LÓTICO,RÍO,"-115,49845","32,66399",2012-2021,"7,36",Aceptable,48,Contaminada,"32,585",Buena calidad,11000,Fuertemente contaminada,4600,Fuertemente contaminada,,,"58,1",Buena calidad,,,,,,,<1,No Toxico,"6,4",Toxicidad alta,,,,,,,,,Rojo,"DQO,CF,E_COLI,TOX_L,",SI,NO,SI,NO,NO,ND,SI,NO,LOTICO
OCPBC4424,DREN INTERNACIONAL RIO NUEVO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN INTERNACIONAL,LÓTICO,DREN,"-115,50003","32,66450",2012-2021,"33,55",Contaminada,"151,38",Contaminada,"60,75",Buena calidad,3500,Contaminada,1500,Fuertemente contaminada,,,"73,5",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DBO,DQO,CF,E_COLI,",NO,NO,SI,NO,NO,ND,SI,SI,LOTICO
OCPBC4425,RIO NUEVO (LIMITE INTERNACIONAL),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RIO NUEVO,LÓTICO,CANAL,"-115,50310","32,66608",2012-2021,"12,52",Aceptable,"78,375",Contaminada,46,Buena calidad,11000,Fuertemente contaminada,2400,Fuertemente contaminada,,,"83,77",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
OCPBC4427,"ENERGIA DE BAJA CALIFORNIA, S. DE R. L. DE C.V. (AGUAS ARRIBA)",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN SUBRAMAL DERECHO 12+409 DEL RAMAL IZQUIERDO 7+100 DEL DREN INTERNACIONAL,LÓTICO,DESCARGA,"-115,62180","32,60491",2012-2021,"9,995",Aceptable,95,Contaminada,"98,65",Aceptable,430,Aceptable,230,Buena calidad,,,"79,75",Excelente,,,,,,,<1,No Toxico,"2,3",Toxicidad moderada,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LOTICO
OCPBC4428,"ENERGIA DE BAJA CALIFORNIA, S. DE R. L. DE C.V. (AGUAS ABAJO)",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN SUBRAMAL DERECHO 12+409 DEL RAMAL IZQUIERDO 7+100 DEL DREN INTERNACIONAL,LÓTICO,DESCARGA,"-115,62354","32,60502",2012-2021,"10,98",Aceptable,121,Contaminada,"33,5",Buena calidad,230,Aceptable,90,Excelente,,,"87,8",Excelente,,,,,,,"10,8",Toxicidad alta,"9,3",Toxicidad alta,,,,,,,,,Rojo,"DQO,TOX_L,",SI,NO,SI,SI,SI,ND,SI,NO,LOTICO
OCPBC4430,"SUKARNE PRODUCCION, S.A. DE C.V. (AGUAS ARRIBA)",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN SUBRAMAL DERECHO 12+409 DEL RAMAL IZQUIERDO 7+100 DEL DREN INTERNACIONAL,LÓTICO,DESCARGA,"-115,64142","32,60497",2012-2021,"9,47",Aceptable,"142,3535",Contaminada,46,Buena calidad,930,Aceptable,430,Buena calidad,,,90,Excelente,,,,,,,"1,2",Toxicidad baja,"3,4",Toxicidad moderada,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LOTICO
OCPBC4431,"SUKARNE PRODUCCION, S.A. DE C.V. (AGUAS ABAJO)",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN SUBRAMAL DERECHO 12+409 DEL RAMAL IZQUIERDO 7+100 DEL DREN INTERNACIONAL,LÓTICO,DESCARGA,"-115,64236","32,60506",2012-2021,"10,02",Aceptable,144,Contaminada,"43,835",Buena calidad,2400,Contaminada,930,Contaminada,,,"78,6",Excelente,,,,,,,"1,5",Toxicidad moderada,"9,5",Toxicidad alta,,,,,,,,,Rojo,"DQO,CF,E_COLI,TOX_L,",SI,NO,SI,NO,NO,ND,SI,NO,LOTICO
OCPBC4433,CANAL ALIMENTADOR DEL AC. RIO COLORADO-TIJUANA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,PROLONGACION DEL CANAL ALIMENTADOR CENTRAL,LÓTICO,CANAL,"-115,65023","32,60491",2012-2021,"2,22",Excelente,14,Buena calidad,"28,7",Buena calidad,40,Excelente,15,Excelente,,,"92,8",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
OCPBC4436,HUMEDALES REMANENTES DEL RIO COLORADO 11,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,HUMEDALES MESA DE ANDRADE,LÉNTICO (HUMEDAL),CIÉNEGA,"-115,12092","32,63264",2012-2021,"103,25",Contaminada,"1094,6",Fuertemente contaminada,"174,3",Contaminada,<3,Excelente,<3,Excelente,,,,,"88,15",Excelente,,,,,,,,,"3,7",Toxicidad moderada,,,"4,8",Toxicidad moderada,,,Rojo,"DBO,DQO,SST,",NO,NO,NO,SI,SI,ND,SI,SI,LENTICO
OCPBC4436M1,SISTEMA DE HUMEDALES REMANENTES DEL DELTA DEL RIO COLORADO 11,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN LA MESA,LÓTICO (HUMEDAL),DREN,"-115,19960","32,61508",2012-2021,<2,Excelente,"11,185",Buena calidad,"12,5",Excelente,930,Aceptable,930,Contaminada,,,"93,5",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"E_COLI,",SI,SI,SI,SI,NO,ND,SI,SI,LOTICO
OCPBC4437,HUMEDALES REMANENTES DEL RIO COLORADO 13,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,HUMEDALES MESA DE ANDRADE 3,LÉNTICO (HUMEDAL),LAGO,"-115,11669","32,63145",2012-2021,"67,8",Contaminada,"634,26",Fuertemente contaminada,"175,25",Contaminada,<3,Excelente,<3,Excelente,,,,,"95,55",Excelente,,,,,,,,,<1,No Toxico,,,"4,6",Toxicidad moderada,,,Rojo,"DBO,DQO,SST,",NO,NO,NO,SI,SI,ND,SI,SI,LENTICO
OCPBC4437M1,SISTEMA DE HUMEDALES REMANENTES DEL DELTA RIO COLORADO 13,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,HUMEDALES LAS ARENITAS,LÉNTICO (HUMEDAL),CIÉNEGA,"-115,32828","32,40585",2012-2021,"45,6",Contaminada,"173,315",Contaminada,"41,5",Buena calidad,330,Aceptable,330,Buena calidad,,,,,48,Aceptable,,,,,,,,,"1,5",Toxicidad moderada,<1,No Toxico,"3,6",Toxicidad moderada,<1,No Toxico,Rojo,"DBO,DQO,",NO,NO,SI,SI,SI,ND,SI,SI,LENTICO
OCPBC4438,EL SAUZAL,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,ENSENADA,ENSENADA-EL GALLO,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,"-116,70620","31,89270",2012-2021,,,,,<10,Excelente,<3,Excelente,,,<3,Excelente,,,"92,9",Excelente,"91,4",Excelente,"95,6",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCPBC4439,PLAYA NORTE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,PLAYAS DE ROSARITO,DESCANSO-LOS MÉDANOS,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,"-117,06952","32,35939",2012-2021,,,,,12,Excelente,<3,Excelente,,,<3,Excelente,,,"87,5",Excelente,"86,15",Excelente,"87,1",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCPBC4442,CORREDOR COSTERO LA ASAMBLEA - SAN FRANCISQUITO 3,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,ENSENADA,TEPETATE,BAHIA DE LOS ANGELES,COSTERO (HUMEDAL),BAHIA,"-113,54514","29,01060",2012-2021,,,,,"11,67",Excelente,<3,Excelente,,,<3,Excelente,,,"89,75",Excelente,"88,8",Excelente,"85,1",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCPBC4443,CORREDOR COSTERO LA ASAMBLEA - SAN FRANCISQUITO 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,ENSENADA,TEPETATE,BAHIA DE LOS ANGELES,COSTERO (HUMEDAL),BAHIA,"-113,50349","28,91159",2012-2021,,,,,"12,83335",Excelente,<3,Excelente,,,<3,Excelente,,,"95,1",Excelente,"92,1",Excelente,91,Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCPBC4444,CORREDOR COSTERO LA ASAMBLEA - SAN FRANCISQUITO 4,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,ENSENADA,SAN PEDRO,GOLFO DE CALIFORNIA,COSTERO (HUMEDAL),OCÉANO-MAR,"-113,38628","28,91827",2012-2021,,,,,<10,Excelente,<3,Excelente,,,<3,Excelente,,,"84,6",Excelente,"82,9",Excelente,"86,7",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCPNO0001RNL21,LAGUNA DE AGUAS TERMALES FRACCIONAMIENTO PORTA ALEGRE,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,LAGUNA DE AGUAS TERMALES FRACCIONAMIENTO PORTA ALEGRE,LÉNTICO,HUMEDAL,"-107,44556","24,83417",2012-2021,<2,Excelente,,,"20,25",Excelente,<3,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,SI,ND,SI,SI,ND,ND,ND,SI,LENTICO
OCPNO0002RNL21,AGUA INFILTRADA FRACC. VILLA BONITA,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RÍO JAMAPA,LÓTICO,RÍO,"-107,38929","24,75232",2012-2021,"5,59",Buena calidad,,,"32,5",Buena calidad,11000,Fuertemente contaminada,,,,,,,,,,,,,,,,,,,,,,,,,Amarillo,"CF,",SI,ND,SI,NO,ND,ND,ND,SI,LOTICO
OCPNO4445,CULIACAN NORTE  (A) AGUAS ARRIBA,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,DREN CEDRITOS,LÓTICO,DREN,"-107,50997","24,82585",2012-2021,<2,Excelente,"22,05",Aceptable,86,Aceptable,24196,Fuertemente contaminada,3180,Fuertemente contaminada,,,84,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4446,CULIACAN NORTE  (A) AGUAS ABAJO,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,DREN CEDRITOS,LÓTICO,DREN,"-107,52932","24,82170",2012-2021,"113,86",Contaminada,"236,47",Fuertemente contaminada,"91,6667",Aceptable,24196,Fuertemente contaminada,241960,Fuertemente contaminada,,,<10,Fuertemente contaminada,,,,,,,"8,2",Toxicidad alta,"21,8",Toxicidad alta,,,,,,,,,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,",NO,NO,SI,NO,NO,ND,NO,NO,LOTICO
OCPNO4448,PUENTE NEGRO,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,"-107,41251","24,80935",2012-2021,<2,Excelente,"16,97",Buena calidad,"30,785",Buena calidad,6488,Contaminada,1043,Fuertemente contaminada,,,"98,6",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4449,RIO CULIACAN 5,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,CANAL,"-107,41048","24,80789",2012-2021,"3,96",Buena calidad,"25,96",Aceptable,"54,23",Buena calidad,5028,Contaminada,"836,5",Aceptable,,,"95,5",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCPNO4449M1,RIO CULIACAN 5,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,CANAL,"-107,40774","24,80540",2012-2021,<2,Excelente,<10,Excelente,"46,23",Buena calidad,5172,Contaminada,2909,Fuertemente contaminada,,,"88,35",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4450,RIO TAMAZULA 1,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO TAMAZULA,LÓTICO,RÍO,"-107,40237","24,81233",2012-2021,<2,Excelente,"21,84",Aceptable,"33,6667",Buena calidad,12299,Fuertemente contaminada,2613,Fuertemente contaminada,,,"94,6",Excelente,,,,,,,"1,2",Toxicidad baja,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4451,RIO TAMAZULA PUENTE MORELOS,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO TAMAZULA,LÓTICO,RÍO,"-107,39100","24,81271",2012-2021,"2,975",Excelente,"18,095",Buena calidad,"38,71835",Buena calidad,9804,Contaminada,1354,Fuertemente contaminada,,,"96,55",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4452,RIO TAMAZULA PUENTE JUAREZ,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO TAMAZULA,LÓTICO,RÍO,"-107,38099","24,81912",2012-2021,<2,Excelente,"16,84",Buena calidad,"26,375",Buena calidad,6499,Contaminada,1295,Fuertemente contaminada,,,"100,8",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4453,RIO TAMAZULA 2,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO TAMAZULA,LÓTICO,RÍO,"-107,32621","24,81074",2012-2021,<2,Excelente,"18,225",Buena calidad,34,Buena calidad,2684,Contaminada,109,Excelente,,,"93,485",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCPNO4455,RIO CULIACAN PUENTE USE,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,"-107,44814","24,79331",2012-2021,<2,Excelente,"21,448",Aceptable,42,Buena calidad,"3989,5",Contaminada,68,Excelente,,,"105,2",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCPNO4456,RIO CULIACAN 4,PACIFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,"-107,48228","24,79010",2012-2021,"7,955",Aceptable,"38,38",Aceptable,20,Excelente,"5962,5",Contaminada,"849,5",Aceptable,,,"115,6",Buena calidad,,,,,,,<1,No Toxico,"3,5",Toxicidad moderada,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
